# These came straight from http://en.wikipedia.org/wiki/List_of_ISO_639-2_codes
#Code	English Name	Native Name
aa	Afar	Qafara
om	Oromo	Afaan Oromoo
or	Oriya	ଓଡ଼ିଆ
os	Ossetian, Ossetic	ирон ӕвзаг
pa	Punjabi, Panjabi	ਪੰਜਾਬੀ, پنجابی
pi	Pali	पालि
pl	Polish	polski
ps	Pashto language, Pashto	پښتو
pt	Portuguese	português
qu	Quechua	Runa Simi, Kichwa
rm	Romansh	rumantsch grischun
rn	Rundi	kiRundi
ro	Romanian	română
ru	Russian	русский язык
rw	Kinyarwanda	kinyaRwanda
sa	Sanskrit	संस्कृतम्
sc	Sardinian	sardu
sd	Sindhi	سنڌي، سندھی, सिन्धी
se	Northern Sami	sámi, sámegiella
sg	Sango	yângâ tî sängö
si	Sinhalese, Sinhala	සිංහල
sk	Slovak	slovenčina
sl	Slovenian	slovenščina
sm	Samoan	gagana fa'a Samoa
sn	Shona	chiShona
so	Somali	Soomaaliga, af Soomaali
sq	Albanian	Shqip
sr	Serbian	српски језик, srpski jezik
ss	Swati	siSwati
st	Southern Sotho	Sesotho
su	Sundanese	basa Sunda
sv	Swedish	svenska
sw	Swahili	kiswahili
ta	Tamil	தமிழ்
te	Telugu	తెలుగు
tg	Tajik	тоҷикӣ, تاجیکی
th	Thai	ภาษาไทย
ti	Tigrinya	ትግርኛ
tk	Turkmen	Түркмен
tl	Tagalog	Wikang Tagalog, ᜏᜒᜃᜅ᜔ ᜆᜄᜎᜓᜄ᜔
tn	Tswana	Setswana
to	Tonga (Tonga Islands)	faka-Tonga
tr	Turkish	Türkçe
ts	Tsonga	Xitsonga
tt	Tatar	татарча, tatarça, تاتارچا
tw	Twi	Twi
ty	Tahitian	te reo Tahiti, te reo Māʼohi
ug	Uighur, Uyghur	Uyƣurqə, Uyğurçe, ئۇيغۇرچ
uk	Ukrainian	українська мова
ur	Urdu	اردو
uz	Uzbek	O'zbek, Ўзбек, أۇزبېك
ve	Venda	Tshivenḓa
vi	Vietnamese	Tiếng Việt
vo	Volapük	Volapük
wa	Walloon	walon
wo	Wolof	Wolof
xh	Xhosa	isiXhosa
yi	Yiddish	ייִדיש
yo	Yoruba	Yorùbá
za	Zhuang, Chuang	Saɯ cueŋƅ, Saw cuengh
zh	Chinese	中文
zu	Zulu	isiZulu
